Temp. (C),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K)
240,,0.22756,2693.3,2920.9,6.8836,,0.14831,2677.5,2900.0,6.6649
280,,0.24801,2760.6,3008.6,7.0482,,0.16276,2749.1,2993.3,6.8400
320,,0.26786,2826.5,3094.4,7.1979,,0.17653,2817.6,3082.4,6.9957
360,,0.28735,2892.1,3179.4,7.3367,,0.18990,2884.9,3169.8,7.1382
400,,0.30661,2957.9,3264.5,7.4669,,0.20302,2951.9,3256.5,7.2710
440,,0.32569,3024.2,3349.9,7.5902,,0.21597,3019.1,3343.1,7.3960
500,,0.35411,3125.0,3479.1,7.7641,,0.23516,3120.9,3473.7,7.5718
540,,0.37295,3193.3,3566.2,7.8740,,0.24785,3189.7,3561.5,7.6825
600,,0.40111,3297.5,3698.6,8.0310,,0.26678,3294.5,3694.7,7.8405
640,,0.41982,3368.2,3788.0,8.1312,,0.27934,3365.5,3784.5,7.9411
,,,,,,,,,,
Temp. (C),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K)
,,"p = 20.0 bar = 2.0 MPa, Tsat = 212.38°C",,,,,"p = 30.0 bar = 3.0 MPa, Tsat = 233.85°C",,,
Sat.,,0.09959,2599.1,2798.3,6.3390,,0.06666,2603.2,2803.2,6.1856
240,,0.10850,2660.2,2877.2,6.4973,,0.06823,2619.8,2824.5,6.2274
280,,0.12005,2737.0,2977.1,6.6849,,0.07716,2710.7,2942.2,6.4486
320,,0.13082,2808.5,3070.1,6.8472,,0.08502,2789.1,3044.2,6.6266
360,,0.14115,2877.6,3159.9,6.9937,,0.09236,2862.4,3139.5,6.7823
400,,0.15121,2945.9,3248.3,7.1292,,0.09938,2933.5,3231.7,6.9234
440,,0.16109,3014.1,3336.3,7.2560,,0.10620,3003.7,3322.3,7.0542
500,,0.17568,3116.9,3468.2,7.4337,,0.11620,3108.6,3457.2,7.2359
540,,0.18530,3186.1,3556.7,7.5453,,0.12274,3178.9,3547.2,7.3493
600,,0.19961,3291.5,3690.7,7.7043,,0.13245,3285.5,3682.8,7.5103
640,,0.20910,3362.8,3781.0,7.8054,,0.13886,3357.5,3774.0,7.6124
700,,0.22326,3471.6,3918.2,7.9509,,0.14841,3467.0,3912.2,7.7590
,,,,,,,,,,
Temp. (C),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K)
,,"p = 40.0 bar = 4.0 MPa, Tsat = 250.35°C",,,,,"p = 60.0 bar = 6.0 MPa, Tsat = 275.58°C",,,
Sat.,,0.04978,2601.7,2800.8,6.0696,,0.032448,2589.9,2784.6,5.8901
280,,0.05550,2680.9,2902.9,6.2595,,0.033199,2606.1,2805.3,5.9277
320,,0.06202,2768.2,3016.3,6.4576,,0.038780,2720.9,2953.6,6.1871
360,,0.06790,2846.5,3118.1,6.6238,,0.043333,2812.0,3072.0,6.3804
400,,0.07343,2920.7,3214.5,6.7714,,0.047419,2893.7,3178.2,6.5432
440,,0.07874,2993.1,3308.0,6.9064,,0.051240,2971.0,3278.4,6.6878
500,,0.08644,3100.3,3446.0,7.0922,,0.056671,3083.1,3423.1,6.8826
540,,0.09146,3171.6,3537.5,7.2075,,0.060161,3156.8,3517.7,7.0020
600,,0.09886,3279.4,3674.9,7.3705,,0.065265,3267.2,3658.7,7.1693
640,,0.10373,3352.0,3767.0,7.4737,,0.068605,3341.1,3752.7,7.2745
700,,0.11098,3462.4,3906.3,7.6214,,0.073545,3453.0,3894.3,7.4246
740,,0.11577,3537.0,4000.1,7.7159,,0.076803,3528.5,3989.3,7.5203
,,,,,,,,,,
Temp. (C),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K)
,,"p = 80.0 bar = 8.0 MPa, Tsat = 295.01°C",,,,,"p = 100.0 bar = 10.0 MPa, Tsat = 311.00°C",,,
Sat.,,0.023526,2570.5,2758.7,5.7450,,0.018030,2545.2,2725.5,5.6160
320,,0.026840,2663.7,2878.4,5.9515,,0.019270,2590.1,2782.8,5.7133
360,,0.030912,2773.3,3020.6,6.1838,,0.023325,2729.4,2962.7,6.0075
400,,0.034344,2864.6,3139.4,6.3658,,0.026436,2833.1,3097.4,6.2141
440,,0.037451,2947.7,3247.3,6.5217,,0.029144,2923.2,3214.6,6.3833
480,,0.040362,3026.7,3349.6,6.6613,,0.031626,3006.7,3323.0,6.5311
520,,0.043145,3103.6,3448.7,6.7895,,0.033966,3086.7,3426.4,6.6649
560,,0.045838,3179.3,3546.0,6.9092,,0.036207,3164.8,3526.9,6.7886
600,,0.048463,3254.7,3642.4,7.0221,,0.038378,3242.0,3625.8,6.9045
640,,0.051038,3330.0,3738.3,7.1295,,0.040495,3318.8,3723.7,7.0142
700,,0.054828,3443.6,3882.2,7.2821,,0.043597,3434.0,3870.0,7.1693
740,,0.057318,3519.9,3978.5,7.3791,,0.045627,3511.3,3967.6,7.2676
,,,,,,,,,,
Temp. (C),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K)
,,"p = 120.0 bar = 12.0 MPa, Tsat = 324.68°C",,,,,"p = 140.0 bar = 14.0 MPa, Tsat = 336.67°C",,,
Sat.,,0.014264,2514.3,2685.4,5.4939,,0.011485,2477.1,2637.9,5.3727
360,,0.018121,2678.5,2895.9,5.8371,,0.014228,2617.3,2816.5,5.6607
400,,0.021106,2798.7,3052.0,6.0764,,0.017240,2761.0,3002.3,5.9459
440,,0.023577,2897.2,3180.1,6.2614,,0.019575,2869.6,3143.7,6.1501
480,,0.025787,2985.8,3295.3,6.4186,,0.021602,2964.1,3266.6,6.3178
520,,0.027837,3069.3,3403.4,6.5585,,0.023452,3051.5,3379.8,6.4643
560,,0.029782,3150.0,3507.4,6.6864,,0.025188,3134.8,3487.5,6.5968
600,,0.031651,3229.1,3608.9,6.8054,,0.026845,3216.0,3591.8,6.7191
640,,0.033465,3307.4,3709.0,6.9175,,0.028443,3295.8,3694.0,6.8336
700,,0.036109,3424.4,3857.7,7.0753,,0.030761,3414.7,3845.3,6.9941
740,,0.037833,3502.6,3956.6,7.1748,,0.032266,3493.8,3945.6,7.0950
,,,,,,,,,,
Temp. (C),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K),,Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (kJ/kg/K)
,,"p = 160.0 bar = 16.0 MPa, Tsat = 347.35°C",,,,,"p = 180.0 bar = 18.0 MPa, Tsat = 356.99°C",,,
Sat.,,0.009309,2431.8,2580.8,5.2463,,0.007502,2374.8,2509.8,5.1061
360,,0.011061,2538.8,2715.8,5.4619,,0.008111,2420.1,2566.1,5.1952
400,,0.014281,2719.1,2947.6,5.8179,,0.011916,2671.9,2886.4,5.6883
440,,0.016548,2840.3,3105.1,6.0455,,0.014171,2809.0,3064.1,5.9451
